FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Grant Hill,255,1994-95,22,15,FALSE,DET,22,70,38.3,7.3,15.2,0.477,0.1,0.4,0.148,5.3,7.3,0.732,1.8,4.6,6.4,5,1.8,0.9,2.9,2.9,19.9,SF
Grant Hill,255,1995-96,7,3,FALSE,DET,23,80,40.8,7.1,15.3,0.462,0.1,0.3,0.192,6.1,8.1,0.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,3,20.2,SF
Grant Hill,255,1996-97,4,-4,FALSE,DET,24,80,39.3,7.8,15.7,0.496,0.1,0.4,0.303,5.6,7.9,0.711,1.5,7.5,9,7.3,1.8,0.6,3.2,2.3,21.4,SF
Grant Hill,255,1997-98,8,-4,FALSE,DET,25,81,40.7,7.6,16.8,0.452,0,0.3,0.143,5.9,8,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,SF
Grant Hill,255,1998-99,12,4,FALSE,DET,26,50,37,7.7,16,0.479,0,0.3,0,5.7,7.6,0.752,1.3,5.8,7.1,6,1.6,0.5,3.7,2.3,21.1,SF
Grant Hill,255,2006-07,89,18,FALSE,ORL,34,65,30.9,5.3,10.2,0.518,0,0.2,0.167,3.8,5,0.765,0.8,2.8,3.6,2.1,0.9,0.4,2.2,2.2,14.4,SF
Grant Hill,255,2007-08,71,-11,TRUE,PHX,35,70,31.7,5.1,10.2,0.503,0.5,1.5,0.317,2.4,2.8,0.867,1.1,4,5,2.9,0.9,0.8,1.4,2.2,13.1,SF
Grant Hill,255,2008-09,82,-9,FALSE,PHX,36,82,29.8,4.8,9.1,0.523,0.3,0.9,0.316,2.2,2.7,0.808,0.8,4.2,4.9,2.3,1.1,0.7,1.5,2.2,12,SF
Grant Hill,255,2009-10,91,-4,FALSE,PHX,37,81,30,4.1,8.7,0.478,0.4,1,0.438,2.5,3.1,0.817,0.9,4.6,5.5,2.4,0.7,0.4,1.3,2,11.3,SF
Juwan Howard,436,1994-95,41,23,FALSE,WAS,22,65,36.1,7,14.3,0.489,0,0.1,0,3,4.5,0.664,2.8,5.6,8.4,2.5,0.8,0.2,2.6,3.6,17,C
Juwan Howard,436,1995-96,18,-13,FALSE,WAS,23,81,40.7,9,18.5,0.489,0,0.2,0.308,3.9,5.3,0.749,2.3,5.8,8.1,4.4,0.8,0.5,3.7,3.3,22.1,C
Juwan Howard,436,1996-97,31,-6,FALSE,WAS,24,82,40.5,7.8,16,0.486,0,0,0,3.6,4.7,0.756,2.5,5.5,8,3.8,1.1,0.3,3,3.2,19.1,C
Juwan Howard,436,1997-98,37,14,FALSE,WAS,25,64,40,7.2,15.5,0.467,0,0,0,4,5.6,0.721,2.5,4.5,7,3.3,1.3,0.4,2.9,3.5,18.5,C
Juwan Howard,436,1998-99,23,-63,FALSE,WAS,26,36,39.7,7.9,16.8,0.474,0,0.1,0,3.1,4.1,0.753,2.5,5.6,8.1,3,1.2,0.4,2.6,3.6,18.9,C
Juwan Howard,436,1999-00,86,36,FALSE,WAS,27,82,35.5,6.2,13.5,0.459,0,0.1,0,2.5,3.4,0.735,1.6,4.1,5.7,3,0.8,0.3,2.7,3.6,14.9,C
Juwan Howard,436,2000-01,50,-9,FALSE,TOT,28,81,36.7,7.2,15,0.479,0,0,0,3.7,4.7,0.773,2.1,5,7.1,2.8,0.9,0.5,3,3.6,18,C
Juwan Howard,436,2001-02,59,27,FALSE,TOT,29,81,32.5,5.7,12.4,0.46,0,0,0,3.2,4.2,0.761,2.8,4.8,7.6,2.1,0.6,0.6,1.9,3.3,14.6,C
Juwan Howard,436,2002-03,32,-25,FALSE,DEN,30,77,35.5,7.4,16.4,0.45,0,0.1,0.5,3.7,4.6,0.803,2.4,5.2,7.6,3,1,0.4,2.5,3.1,18.4,C
Juwan Howard,436,2005-06,90,-26,TRUE,HOU,33,80,31.7,4.9,10.7,0.459,0,0.1,0,1.9,2.4,0.806,2.1,4.6,6.7,1.4,0.6,0.1,1.7,2.9,11.8,C
Jason Kidd,467,1994-95,56,33,FALSE,DAL,22,79,33.8,4.2,10.8,0.385,0.9,3.3,0.272,2.4,3.5,0.698,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1.8,11.7,PG
Jason Kidd,467,1997-98,24,19,FALSE,PHX,25,82,38,4.4,10.5,0.416,0.9,2.8,0.313,2,2.5,0.799,1.3,4.9,6.2,9.1,2,0.3,3.2,1.7,11.6,PG
Jason Kidd,467,1998-99,5,-9,FALSE,PHX,26,50,41.2,6.2,14,0.444,0.9,2.5,0.366,3.6,4.8,0.757,1.7,5,6.8,10.8,2.3,0.4,3,2.2,16.9,PG
Jason Kidd,467,1999-00,14,-3,FALSE,PHX,27,67,39,5.2,12.8,0.409,0.8,2.5,0.337,3,3.7,0.829,1.4,5.8,7.2,10.1,2,0.4,3.4,2.2,14.3,PG
Jason Kidd,467,2000-01,17,-1,FALSE,PHX,28,77,39.8,5.9,14.2,0.411,0.9,3,0.297,4.3,5.2,0.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,PG
Jason Kidd,467,2001-02,18,5,FALSE,NJN,29,82,37.3,5.4,13.9,0.391,1.4,4.4,0.321,2.5,3,0.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7,PG
Jason Kidd,467,2002-03,13,-6,FALSE,NJN,30,80,37.4,6.4,15.6,0.414,1.6,4.6,0.341,4.2,5,0.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,PG
Jason Kidd,467,2003-04,19,-2,FALSE,NJN,31,67,36.6,5.5,14.3,0.384,1.4,4.4,0.321,3.1,3.7,0.827,1.3,5.1,6.4,9.2,1.8,0.2,3.2,1.6,15.5,PG
Jason Kidd,467,2004-05,21,3,FALSE,NJN,32,66,36.9,5.2,13,0.398,2,5.4,0.36,2.2,2.9,0.74,1.4,6,7.4,8.3,1.9,0.1,2.5,1.7,14.4,PG
Jason Kidd,467,2005-06,18,-1,FALSE,NJN,33,80,37.2,4.6,11.3,0.404,1.7,4.9,0.352,2.4,3.1,0.795,1.1,6.2,7.3,8.4,1.9,0.4,2.4,2,13.3,PG
Jason Kidd,467,2006-07,19,-9,FALSE,NJN,34,80,36.7,4.6,11.4,0.406,1.6,4.5,0.343,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13,PG
