PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
200746,00,0,1076,997,33.7,7.7,15.7,0.493,0.2,0.7,0.32,3.4,4.2,0.813,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1
951,00,0,1300,1149,35.7,6.6,14.6,0.452,2.3,5.7,0.4,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
2754,00,0,820,441,22.0,3.2,6.6,0.475,0.2,0.5,0.282,1.7,2.3,0.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
200811,00,0,428,42,12.9,1.5,3.2,0.474,0.0,0.0,0.0,0.6,1.4,0.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
2365,00,0,695,45,17.7,1.9,3.6,0.532,0.0,0.1,0.221,1.5,2.3,0.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
101187,00,0,330,66,20.6,2.6,6.3,0.405,1.0,2.9,0.344,1.2,1.5,0.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
2546,00,0,1260,1120,34.5,8.0,18.0,0.447,1.4,3.9,0.355,5.0,6.2,0.814,1.6,4.6,6.2,2.7,1.0,0.5,2.4,2.8,22.5
201202,00,0,490,110,14.4,0.8,1.6,0.513,0.0,0.0,0.0,0.5,0.8,0.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
2772,00,0,1118,769,29.5,3.7,8.8,0.422,1.4,4.1,0.351,1.5,2.1,0.731,1.0,3.8,4.8,2.1,1.5,0.3,1.3,2.0,10.4
201571,00,0,976,334,23.4,3.1,7.4,0.412,1.3,3.4,0.381,2.1,2.4,0.867,0.3,1.6,1.8,3.9,0.6,0.0,1.5,1.4,9.5
2571,00,0,850,112,21.6,4.0,8.7,0.459,1.2,3.0,0.387,1.5,1.8,0.821,0.4,1.6,2.0,2.1,0.8,0.1,1.2,1.9,10.6
200826,00,0,831,108,19.6,3.4,8.0,0.424,1.0,2.8,0.352,1.1,1.4,0.794,0.3,1.8,2.1,3.9,0.4,0.0,1.5,1.4,8.9
2440,00,0,929,359,23.6,3.0,6.9,0.436,1.1,3.2,0.335,1.1,1.5,0.745,1.1,3.5,4.6,1.8,0.8,0.5,1.3,2.5,8.2
2853,00,0,140,31,14.2,1.8,4.9,0.371,0.0,0.1,0.167,0.9,1.3,0.702,1.3,2.2,3.5,0.5,0.3,0.2,0.8,1.9,4.6
201587,00,0,957,815,30.3,3.9,8.9,0.437,1.6,4.4,0.364,1.5,1.8,0.833,1.0,4.1,5.1,3.4,0.9,0.6,1.6,1.7,10.9
203382,00,0,522,168,16.0,2.4,4.9,0.489,0.2,0.7,0.308,1.0,1.2,0.794,1.5,3.0,4.6,0.8,0.2,0.5,0.9,2.2,6.0
201158,00,0,860,219,22.7,3.4,8.1,0.424,1.4,3.8,0.376,1.5,1.7,0.846,0.2,1.8,2.1,1.7,0.6,0.1,1.0,1.4,9.7
201976,00,0,561,473,27.3,3.0,7.3,0.413,1.6,4.1,0.376,1.1,1.4,0.759,1.1,3.1,4.2,3.4,1.1,0.5,1.3,3.1,8.7
1497,00,0,1043,937,31.6,4.5,10.9,0.415,1.8,4.5,0.387,4.3,4.8,0.894,0.5,2.4,2.9,5.4,1.0,0.2,2.0,2.1,15.2
202357,00,0,449,162,20.4,2.8,6.1,0.466,1.1,2.9,0.384,0.8,1.0,0.759,1.1,3.5,4.6,1.8,0.6,0.4,1.0,2.4,7.6
2581,00,0,870,347,23.9,2.4,5.9,0.401,1.2,3.1,0.383,0.6,0.7,0.779,0.3,1.8,2.1,4.0,0.7,0.1,1.4,1.5,6.5
2586,00,0,671,333,21.7,2.2,5.6,0.394,1.1,3.0,0.353,0.9,1.2,0.716,0.6,2.1,2.7,1.3,0.6,0.1,0.9,1.8,6.3
202711,00,0,647,530,29.2,5.3,11.6,0.459,2.1,5.3,0.394,2.7,3.1,0.864,0.5,3.1,3.6,1.6,0.6,0.1,1.7,1.6,15.4
101106,00,0,706,661,28.1,4.2,7.9,0.535,0.0,0.0,0.12,1.2,2.1,0.557,2.5,6.2,8.7,2.2,0.6,1.5,1.7,3.1,9.6
2588,00,0,792,112,16.9,2.2,4.8,0.464,1.0,2.4,0.414,0.4,0.5,0.78,0.8,2.2,3.0,0.7,0.4,0.3,0.4,1.7,5.8
1882,00,0,1058,868,33.0,6.2,12.5,0.5,0.0,0.0,0.095,3.4,4.7,0.736,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9
201147,00,0,819,310,22.9,3.3,7.7,0.425,0.6,2.2,0.284,1.5,2.1,0.713,0.7,2.0,2.8,1.5,1.2,0.3,1.2,2.2,8.7
201166,00,0,645,183,20.8,3.5,8.5,0.413,1.3,3.4,0.37,1.4,1.7,0.837,0.4,1.3,1.7,3.0,0.6,0.1,1.6,1.9,9.7
201628,00,0,158,2,10.7,1.7,4.5,0.379,0.6,1.9,0.317,0.3,0.4,0.806,0.1,0.5,0.7,1.5,0.3,0.0,0.8,0.9,4.4
977,00,0,1346,1198,36.1,8.7,19.5,0.447,1.4,4.1,0.329,6.2,7.4,0.837,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5,25.0
2406,00,0,881,732,32.2,5.2,12.0,0.434,0.8,2.4,0.348,2.8,3.3,0.847,1.3,3.7,5.0,2.3,1.3,0.2,1.8,2.4,14.1
202710,00,0,721,616,33.2,5.8,12.6,0.463,0.8,2.5,0.321,5.5,6.5,0.842,1.6,3.8,5.3,4.2,1.7,0.5,1.6,1.4,17.9
2446,00,0,809,266,21.3,2.8,7.0,0.403,1.1,3.1,0.362,0.7,1.0,0.747,0.4,2.0,2.4,0.8,0.4,0.5,0.7,1.4,7.5
101181,00,0,895,591,26.4,3.4,7.2,0.472,1.0,2.5,0.407,1.0,1.2,0.873,0.3,2.1,2.4,5.8,0.8,0.1,1.5,1.6,8.9
948,00,0,973,786,29.5,3.9,8.3,0.466,0.0,0.1,0.205,1.8,2.6,0.67,2.7,7.1,9.8,1.9,1.0,2.4,1.4,2.8,9.5
201960,00,0,578,339,23.7,3.1,7.3,0.43,1.1,3.2,0.358,1.5,2.1,0.741,1.1,3.1,4.2,1.3,0.9,0.3,0.9,1.9,8.9
1713,00,0,1541,982,30.1,6.0,13.8,0.435,1.5,4.0,0.371,3.1,3.9,0.798,1.1,3.2,4.3,3.1,1.0,0.6,1.7,2.6,16.7
2199,00,0,1160,886,27.3,3.1,5.1,0.597,0.0,0.0,0.0,2.1,3.2,0.644,3.0,6.0,9.0,0.8,0.5,1.2,1.4,2.8,8.2
201163,00,0,676,483,30.0,4.8,10.9,0.443,1.3,3.8,0.341,1.6,2.0,0.77,1.1,4.2,5.3,1.8,0.7,0.6,1.4,2.7,12.5
2215,00,0,735,477,20.4,1.2,3.0,0.411,0.0,0.0,0.206,1.1,1.6,0.647,1.2,2.4,3.7,0.9,0.5,0.5,0.8,2.8,3.6
2555,00,0,910,177,20.4,2.4,4.6,0.534,0.0,0.1,0.208,1.0,1.4,0.723,1.9,3.2,5.2,1.0,0.5,0.5,1.0,2.8,5.9
201144,00,0,993,956,31.9,5.2,11.9,0.438,1.6,4.1,0.381,2.7,3.3,0.819,0.5,2.5,3.0,5.7,1.4,0.2,2.0,2.0,14.7
2037,00,0,1327,433,29.4,5.1,12.4,0.41,1.7,4.8,0.348,2.8,3.2,0.862,0.4,1.9,2.2,3.4,0.9,0.2,1.9,1.5,14.6
201939,00,0,856,850,34.3,8.4,17.7,0.474,3.8,8.9,0.427,3.9,4.3,0.908,0.7,4.0,4.7,6.5,1.6,0.2,3.1,2.4,24.5
2223,00,0,886,694,24.4,3.2,6.1,0.521,0.0,0.0,0.083,1.3,1.9,0.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
202334,00,0,722,106,19.1,2.5,4.3,0.567,0.0,0.0,0.0,1.0,1.8,0.583,2.2,4.2,6.4,0.7,0.5,0.8,0.7,2.4,5.9
203473,00,0,506,209,17.4,2.5,4.8,0.527,0.4,1.1,0.336,1.0,1.3,0.735,1.5,4.3,5.8,0.7,0.5,0.8,1.0,2.5,6.4
2736,00,0,902,828,34.3,5.7,12.5,0.456,0.7,2.2,0.332,2.7,3.5,0.769,1.6,4.4,6.1,2.3,1.0,0.5,1.6,1.7,14.8
2564,00,0,1064,564,27.0,3.6,7.2,0.493,0.4,1.3,0.336,1.0,1.4,0.717,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.1,8.6
2039,00,0,728,86,19.4,2.5,6.0,0.416,0.6,1.8,0.349,1.4,1.7,0.799,0.2,1.1,1.3,2.2,0.6,0.1,1.1,1.7,7.0
201609,00,0,929,530,27.3,4.9,10.7,0.46,1.2,3.4,0.362,2.4,3.1,0.765,0.7,2.3,3.0,4.7,0.9,0.2,2.2,2.3,13.5
201162,00,0,904,286,22.3,2.7,5.7,0.463,1.0,2.5,0.393,1.0,1.4,0.732,0.9,2.3,3.2,1.5,0.8,0.2,0.8,1.8,7.3
201142,00,0,978,975,36.7,9.3,18.7,0.498,1.9,4.9,0.384,6.7,7.6,0.886,0.7,6.4,7.1,4.3,1.1,1.1,3.2,1.9,27.3
201961,00,0,770,206,20.9,2.9,7.1,0.41,1.6,4.1,0.382,0.7,0.8,0.843,0.3,1.8,2.1,1.1,0.5,0.1,0.7,1.1,8.0
2408,00,0,375,55,16.0,2.1,4.5,0.46,0.0,0.0,0.0,1.1,1.8,0.625,1.2,2.0,3.2,0.7,0.3,0.6,1.0,2.0,5.3
2501,00,0,809,372,19.3,1.4,2.9,0.465,0.0,0.0,0.091,1.3,2.5,0.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1
