FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION,GP_career,GS_career,MIN_career,FGM_career,FGA_career,FG_PCT_career,FG3M_career,FG3A_career,FG3_PCT_career,FTM_career,FTA_career,FT_PCT_career,OREB_career,DREB_career,REB_career,AST_career,STL_career,BLK_career,TOV_career,PF_career,PTS_career
Grant Hill,255,2007-08,71,-11,True,PHX,35,70,31.7,5.1,10.2,0.503,0.5,1.5,0.317,2.4,2.8,0.867,1.1,4.0,5.0,2.9,0.9,0.8,1.4,2.2,13.1,SF,1026,972,33.9,6.2,12.8,0.483,0.2,0.7,0.314,4.1,5.4,0.769,1.1,4.9,6.0,4.1,1.2,0.6,2.4,2.3,16.7
Juwan Howard,436,2005-06,90,-26,True,HOU,33,80,31.7,4.9,10.7,0.45899999999999996,0.0,0.1,0.0,1.9,2.4,0.8059999999999999,2.1,4.6,6.7,1.4,0.6,0.1,1.7,2.9,11.8,C,1208,900,30.3,5.4,11.5,0.469,0.0,0.0,0.12,2.5,3.3,0.764,1.9,4.2,6.1,2.2,0.7,0.3,2.0,2.9,13.4
Jason Kidd,467,2009-10,33,-39,True,DAL,37,80,36.0,3.6,8.4,0.423,2.2,5.2,0.425,1.0,1.2,0.8079999999999999,0.6,5.0,5.6,9.1,1.8,0.4,2.4,1.8,10.3,PG,1391,1350,36.0,4.5,11.2,0.4,1.4,4.1,0.349,2.2,2.8,0.785,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6
Kurt Thomas,703,2007-08,109,-47,True,TOT,35,70,22.6,2.8,5.7,0.49200000000000005,0.0,0.0,0.0,0.8,1.1,0.6629999999999999,1.9,5.4,7.2,1.0,0.8,0.8,0.7,2.7,6.3,C,1110,650,24.5,3.5,7.1,0.486,0.0,0.0,0.281,1.2,1.5,0.76,1.7,4.9,6.6,1.1,0.7,0.8,1.1,3.2,8.1
Kevin Garnett,708,2011-12,20,-16,True,BOS,36,60,31.1,6.5,13.0,0.503,0.1,0.2,0.33299999999999996,2.7,3.2,0.857,1.1,7.1,8.2,2.9,0.9,1.0,1.8,2.4,15.8,PF,1462,1425,34.5,7.2,14.5,0.49700000000000005,0.1,0.4,0.275,3.3,4.2,0.789,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8
Jerry Stackhouse,711,2000-01,27,-20,True,DET,26,80,40.1,9.7,24.1,0.402,2.1,5.9,0.35100000000000003,8.3,10.1,0.8220000000000001,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,SF,970,564,31.2,5.6,13.6,0.409,1.0,3.3,0.309,4.8,5.8,0.8220000000000001,1.0,2.2,3.2,3.3,0.9,0.5,2.7,1.9,16.9
Rasheed Wallace,739,2008-09,66,-72,True,DET,34,66,32.2,4.6,10.9,0.419,1.7,4.8,0.354,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0,12.0,C,1109,956,32.7,5.7,12.2,0.467,1.0,2.9,0.336,2.1,2.9,0.721,1.4,5.3,6.7,1.8,1.0,1.3,1.5,2.9,14.4
Marcus Camby,948,2006-07,16,3,True,DEN,33,70,33.8,4.5,9.4,0.473,0.0,0.0,0.0,2.3,3.2,0.7290000000000001,2.3,9.3,11.7,3.2,1.2,3.3,1.7,2.6,11.2,C,973,786,29.5,3.9,8.3,0.466,0.0,0.1,0.205,1.8,2.6,0.67,2.7,7.1,9.8,1.9,1.0,2.4,1.4,2.8,9.5
Ray Allen,951,2006-07,21,-54,True,SEA,31,55,40.3,9.2,21.0,0.43799999999999994,3.0,8.1,0.37200000000000005,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,SG,1300,1149,35.7,6.6,14.6,0.452,2.3,5.7,0.4,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
Steve Nash,959,2006-07,10,-11,True,PHX,33,76,35.3,6.8,12.8,0.532,2.1,4.5,0.455,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,PG,1217,1053,31.3,5.2,10.6,0.49,1.4,3.2,0.428,2.5,2.8,0.904,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3
